sample_index,time(s),voltage(V)
0,0.000000,3.325833
1,0.000100,3.343476
2,0.000200,3.355569
3,0.000300,3.362154
4,0.000400,3.363311
5,0.000500,3.359158
6,0.000600,3.349853
7,0.000700,3.335590
8,0.000800,3.316596
9,0.000900,3.293130
10,0.001000,3.265485
11,0.001100,3.233975
12,0.001200,3.198944
13,0.001300,3.160753
14,0.001400,3.119786
15,0.001500,3.076436
16,0.001600,3.031110
17,0.001700,2.984223
18,0.001800,2.936193
19,0.001900,2.887437
20,0.002000,2.838370
21,0.002100,2.789398
22,0.002200,2.740918
23,0.002300,2.693311
24,0.002400,2.646940
25,0.002500,2.602150
26,0.002600,2.559258
27,0.002700,2.518559
28,0.002800,2.480313
29,0.002900,2.444754
30,0.003000,2.412081
31,0.003100,2.382456
32,0.003200,2.356007
33,0.003300,2.332825
34,0.003400,2.312960
35,0.003500,2.296428
36,0.003600,2.283202
37,0.003700,2.273222
38,0.003800,2.266388
39,0.003900,2.262564
40,0.004000,2.261580
41,0.004100,2.263233
42,0.004200,2.267289
43,0.004300,2.273485
44,0.004400,2.281533
45,0.004500,2.291121
46,0.004600,2.301917
47,0.004700,2.313570
48,0.004800,2.325719
49,0.004900,2.337988
50,0.005000,2.350000
51,0.005100,2.361370
52,0.005200,2.371716
53,0.005300,2.380661
54,0.005400,2.387832
55,0.005500,2.392874
56,0.005600,2.395440
57,0.005700,2.395207
58,0.005800,2.391869
59,0.005900,2.385149
60,0.006000,2.374794
61,0.006100,2.360581
62,0.006200,2.342321
63,0.006300,2.319859
64,0.006400,2.293073
65,0.006500,2.261881
66,0.006600,2.226238
67,0.006700,2.186140
68,0.006800,2.141619
69,0.006900,2.092749
70,0.007000,2.039641
71,0.007100,1.982447
72,0.007200,1.921354
73,0.007300,1.856586
74,0.007400,1.788401
75,0.007500,1.717089
76,0.007600,1.642971
77,0.007700,1.566395
78,0.007800,1.487733
79,0.007900,1.407381
80,0.008000,1.325751
81,0.008100,1.243271
82,0.008200,1.160382
83,0.008300,1.077531
84,0.008400,0.995170
85,0.008500,0.913752
86,0.008600,0.833727
87,0.008700,0.755538
88,0.008800,0.679618
89,0.008900,0.606385
90,0.009000,0.536238
91,0.009100,0.469558
92,0.009200,0.406701
93,0.009300,0.347996
94,0.009400,0.293743
95,0.009500,0.244207
96,0.009600,0.199623
97,0.009700,0.160187
98,0.009800,0.126059
99,0.009900,0.097359
100,0.010000,0.074167
101,0.010100,0.056525
102,0.010200,0.044431
103,0.010300,0.037846
104,0.010400,0.036690
105,0.010500,0.040842
106,0.010600,0.050147
107,0.010700,0.064410
108,0.010800,0.083405
109,0.010900,0.106870
110,0.011000,0.134516
111,0.011100,0.166025
112,0.011200,0.201056
113,0.011300,0.239247
114,0.011400,0.280215
115,0.011500,0.323564
116,0.011600,0.368890
117,0.011700,0.415777
118,0.011800,0.463807
119,0.011900,0.512563
120,0.012000,0.561630
121,0.012100,0.610602
122,0.012200,0.659082
123,0.012300,0.706689
124,0.012400,0.753060
125,0.012500,0.797850
126,0.012600,0.840741
127,0.012700,0.881441
128,0.012800,0.919687
129,0.012900,0.955246
130,0.013000,0.987919
131,0.013100,1.017544
132,0.013200,1.043993
133,0.013300,1.067175
134,0.013400,1.087040
135,0.013500,1.103573
136,0.013600,1.116798
137,0.013700,1.126778
138,0.013800,1.133612
139,0.013900,1.137436
140,0.014000,1.138420
141,0.014100,1.136767
142,0.014200,1.132711
143,0.014300,1.126515
144,0.014400,1.118467
145,0.014500,1.108879
146,0.014600,1.098084
147,0.014700,1.086430
148,0.014800,1.074282
149,0.014900,1.062012
150,0.015000,1.050000
151,0.015100,1.038630
152,0.015200,1.028284
153,0.015300,1.019340
154,0.015400,1.012168
155,0.015500,1.007126
156,0.015600,1.004560
157,0.015700,1.004793
158,0.015800,1.008131
159,0.015900,1.014851
160,0.016000,1.025207
161,0.016100,1.039419
162,0.016200,1.057679
163,0.016300,1.080142
164,0.016400,1.106927
165,0.016500,1.138119
166,0.016600,1.173761
167,0.016700,1.213860
168,0.016800,1.258381
169,0.016900,1.307251
170,0.017000,1.360359
171,0.017100,1.417554
172,0.017200,1.478647
173,0.017300,1.543414
174,0.017400,1.611600
175,0.017500,1.682912
176,0.017600,1.757029
177,0.017700,1.833605
178,0.017800,1.912266
179,0.017900,1.992619
180,0.018000,2.074248
181,0.018100,2.156729
182,0.018200,2.239619
183,0.018300,2.322470
184,0.018400,2.404830
185,0.018500,2.486248
186,0.018600,2.566272
187,0.018700,2.644461
188,0.018800,2.720382
189,0.018900,2.793615
190,0.019000,2.863762
191,0.019100,2.930442
192,0.019200,2.993299
193,0.019300,3.052004
194,0.019400,3.106258
195,0.019500,3.155793
196,0.019600,3.200377
197,0.019700,3.239813
198,0.019800,3.273941
199,0.019900,3.302641
200,0.020000,3.325833
201,0.020100,3.343476
202,0.020200,3.355569
203,0.020300,3.362154
204,0.020400,3.363310
205,0.020500,3.359158
206,0.020600,3.349853
207,0.020700,3.335590
208,0.020800,3.316596
209,0.020900,3.293130
210,0.021000,3.265484
211,0.021100,3.233975
212,0.021200,3.198944
213,0.021300,3.160754
214,0.021400,3.119786
215,0.021500,3.076436
216,0.021600,3.031110
217,0.021700,2.984223
218,0.021800,2.936193
219,0.021900,2.887437
220,0.022000,2.838370
221,0.022100,2.789399
222,0.022200,2.740918
223,0.022300,2.693311
224,0.022400,2.646941
225,0.022500,2.602150
226,0.022600,2.559258
227,0.022700,2.518558
228,0.022800,2.480313
229,0.022900,2.444755
230,0.023000,2.412081
231,0.023100,2.382456
232,0.023200,2.356008
233,0.023300,2.332825
234,0.023400,2.312960
235,0.023500,2.296427
236,0.023600,2.283202
237,0.023700,2.273222
238,0.023800,2.266388
239,0.023900,2.262563
240,0.024000,2.261580
241,0.024100,2.263233
242,0.024200,2.267289
243,0.024300,2.273485
244,0.024400,2.281533
245,0.024500,2.291121
246,0.024600,2.301917
247,0.024700,2.313570
248,0.024800,2.325718
249,0.024900,2.337989
250,0.025000,2.350000
251,0.025100,2.361370
252,0.025200,2.371716
253,0.025300,2.380661
254,0.025400,2.387833
255,0.025500,2.392874
256,0.025600,2.395441
257,0.025700,2.395207
258,0.025800,2.391870
259,0.025900,2.385149
260,0.026000,2.374794
261,0.026100,2.360581
262,0.026200,2.342321
263,0.026300,2.319859
264,0.026400,2.293073
265,0.026500,2.261881
266,0.026600,2.226239
267,0.026700,2.186140
268,0.026800,2.141619
269,0.026900,2.092748
270,0.027000,2.039641
271,0.027100,1.982447
272,0.027200,1.921354
273,0.027300,1.856586
274,0.027400,1.788401
275,0.027500,1.717089
276,0.027600,1.642971
277,0.027700,1.566395
278,0.027800,1.487734
279,0.027900,1.407382
280,0.028000,1.325750
281,0.028100,1.243271
282,0.028200,1.160381
283,0.028300,1.077531
284,0.028400,0.995170
285,0.028500,0.913752
286,0.028600,0.833728
287,0.028700,0.755539
288,0.028800,0.679618
289,0.028900,0.606385
290,0.029000,0.536238
291,0.029100,0.469557
292,0.029200,0.406701
293,0.029300,0.347996
294,0.029400,0.293743
295,0.029500,0.244207
296,0.029600,0.199623
297,0.029700,0.160187
298,0.029800,0.126059
299,0.029900,0.097359
300,0.030000,0.074167
301,0.030100,0.056525
302,0.030200,0.044431
303,0.030300,0.037846
304,0.030400,0.036690
305,0.030500,0.040842
306,0.030600,0.050147
307,0.030700,0.064410
308,0.030800,0.083405
309,0.030900,0.106870
310,0.031000,0.134516
311,0.031100,0.166025
312,0.031200,0.201056
313,0.031300,0.239247
314,0.031400,0.280214
315,0.031500,0.323565
316,0.031600,0.368889
317,0.031700,0.415777
318,0.031800,0.463808
319,0.031900,0.512562
320,0.032000,0.561631
321,0.032100,0.610601
322,0.032200,0.659083
323,0.032300,0.706689
324,0.032400,0.753060
325,0.032500,0.797849
326,0.032600,0.840742
327,0.032700,0.881441
328,0.032800,0.919687
329,0.032900,0.955246
330,0.033000,0.987919
331,0.033100,1.017545
332,0.033200,1.043993
333,0.033300,1.067176
334,0.033400,1.087040
335,0.033500,1.103573
336,0.033600,1.116798
337,0.033700,1.126778
338,0.033800,1.133612
339,0.033900,1.137436
340,0.034000,1.138420
341,0.034100,1.136767
342,0.034200,1.132711
343,0.034300,1.126515
344,0.034400,1.118467
345,0.034500,1.108879
346,0.034600,1.098083
347,0.034700,1.086430
348,0.034800,1.074281
349,0.034900,1.062011
350,0.035000,1.049999
351,0.035100,1.038631
352,0.035200,1.028284
353,0.035300,1.019340
354,0.035400,1.012168
355,0.035500,1.007126
356,0.035600,1.004561
357,0.035700,1.004793
358,0.035800,1.008131
359,0.035900,1.014851
360,0.036000,1.025207
361,0.036100,1.039419
362,0.036200,1.057679
363,0.036300,1.080141
364,0.036400,1.106927
365,0.036500,1.138119
366,0.036600,1.173761
367,0.036700,1.213860
368,0.036800,1.258381
369,0.036900,1.307251
370,0.037000,1.360359
371,0.037100,1.417551
372,0.037200,1.478646
373,0.037300,1.543415
374,0.037400,1.611599
