时间(s),输入值(V),X_filt,Y_filt,幅值(V),相位(deg),还原信号(V),参考余弦,参考正弦
0.0000,1.7000,0.0017,0.0001,0.0034,1.76,0.0034,0.9995,0.0307
0.0001,1.7408,0.0034,0.0002,0.0069,2.65,0.0069,0.9981,0.0613
0.0002,1.7816,0.0052,0.0003,0.0104,3.54,0.0104,0.9958,0.0919
0.0003,1.8223,0.0070,0.0005,0.0141,4.45,0.0141,0.9925,0.1224
0.0004,1.8629,0.0089,0.0008,0.0178,5.35,0.0178,0.9883,0.1528
0.0005,1.9034,0.0107,0.0012,0.0216,6.27,0.0216,0.9831,0.1830
0.0006,1.9436,0.0126,0.0016,0.0255,7.19,0.0254,0.9770,0.2131
0.0007,1.9836,0.0146,0.0021,0.0294,8.11,0.0293,0.9700,0.2430
0.0008,2.0233,0.0165,0.0026,0.0334,9.09,0.0333,0.9604,0.2785
0.0009,2.0627,0.0185,0.0033,0.0375,10.06,0.0373,0.9514,0.3078
0.0010,2.1017,0.0204,0.0040,0.0416,11.02,0.0413,0.9415,0.3369
0.0011,2.1404,0.0224,0.0048,0.0459,11.99,0.0454,0.9308,0.3656
0.0012,2.1786,0.0244,0.0056,0.0501,12.96,0.0496,0.9191,0.3940
0.0013,2.2163,0.0264,0.0066,0.0545,13.93,0.0537,0.9066,0.4220
0.0014,2.2535,0.0285,0.0076,0.0589,14.90,0.0579,0.8932,0.4496
0.0015,2.2902,0.0305,0.0087,0.0634,15.87,0.0622,0.8790,0.4768
0.0016,2.3263,0.0325,0.0098,0.0679,16.87,0.0664,0.8609,0.5088
0.0017,2.3618,0.0345,0.0111,0.0724,17.87,0.0706,0.8449,0.5350
0.0018,2.3966,0.0365,0.0125,0.0770,18.86,0.0749,0.8280,0.5607
0.0019,2.4307,0.0384,0.0139,0.0817,19.86,0.0792,0.8105,0.5858
0.0020,2.4641,0.0404,0.0154,0.0864,20.86,0.0834,0.7921,0.6104
0.0021,2.4968,0.0423,0.0170,0.0912,21.85,0.0876,0.7730,0.6344
0.0022,2.5287,0.0442,0.0186,0.0959,22.85,0.0919,0.7532,0.6578
0.0023,2.5597,0.0461,0.0204,0.1008,23.85,0.0961,0.7327,0.6806
0.0024,2.5899,0.0479,0.0222,0.1056,24.86,0.1002,0.7071,0.7071
0.0025,2.6192,0.0497,0.0241,0.1105,25.87,0.1044,0.6851,0.7285
0.0026,2.6477,0.0515,0.0261,0.1154,26.89,0.1085,0.6624,0.7491
0.0027,2.6751,0.0532,0.0282,0.1203,27.90,0.1126,0.6391,0.7691
0.0028,2.7017,0.0548,0.0303,0.1253,28.91,0.1166,0.6152,0.7883
0.0029,2.7272,0.0564,0.0325,0.1302,29.92,0.1205,0.5908,0.8068
0.0030,2.7517,0.0580,0.0348,0.1352,30.93,0.1244,0.5657,0.8246
0.0031,2.7752,0.0595,0.0371,0.1402,31.93,0.1282,0.5402,0.8416
0.0032,2.7976,0.0609,0.0395,0.1452,32.94,0.1320,0.5141,0.8577
0.0033,2.8190,0.0623,0.0420,0.1502,33.96,0.1356,0.4822,0.8761
0.0034,2.8392,0.0636,0.0445,0.1552,34.97,0.1392,0.4551,0.8904
0.0035,2.8583,0.0648,0.0471,0.1602,35.99,0.1427,0.4276,0.9040
0.0036,2.8763,0.0660,0.0497,0.1652,37.00,0.1461,0.3996,0.9167
0.0037,2.8931,0.0670,0.0524,0.1702,38.01,0.1494,0.3713,0.9285
0.0038,2.9087,0.0680,0.0551,0.1751,39.02,0.1526,0.3427,0.9395
0.0039,2.9231,0.0690,0.0579,0.1801,40.02,0.1556,0.3137,0.9495
0.0040,2.9364,0.0698,0.0607,0.1850,41.02,0.1586,0.2844,0.9587
0.0041,2.9484,0.0705,0.0636,0.1899,42.03,0.1614,0.2489,0.9685
0.0042,2.9592,0.0712,0.0665,0.1947,43.04,0.1641,0.2191,0.9757
0.0043,2.9687,0.0717,0.0694,0.1996,44.04,0.1667,0.1891,0.9820
0.0044,2.9770,0.0722,0.0723,0.2044,45.04,0.1691,0.1589,0.9873
0.0045,2.9840,0.0726,0.0753,0.2091,46.04,0.1714,0.1285,0.9917
0.0046,2.9897,0.0729,0.0782,0.2139,47.03,0.1735,0.0980,0.9952
0.0047,2.9942,0.0731,0.0812,0.2185,48.02,0.1755,0.0674,0.9977
0.0048,2.9974,0.0732,0.0842,0.2232,49.01,0.1773,0.0368,0.9993
0.0049,2.9994,0.0732,0.0872,0.2277,50.00,0.1789,-0.0000,1.0000
