channel1,channel2
1.0000,0.0039
0.9995,0.0078
0.9980,0.0118
0.9956,0.0159
0.9921,0.0200
0.9877,0.0242
0.9823,0.0284
0.9759,0.0327
0.9686,0.0371
0.9603,0.0415
0.9511,0.0459
0.9409,0.0504
0.9298,0.0548
0.9178,0.0593
0.9048,0.0638
0.8910,0.0683
0.8763,0.0728
0.8607,0.0773
0.8443,0.0818
0.8271,0.0863
0.8090,0.0907
0.7902,0.0951
0.7705,0.0995
0.7501,0.1038
0.7290,0.1081
0.7071,0.1123
0.6845,0.1165
0.6613,0.1206
0.6374,0.1246
0.6129,0.1286
0.5878,0.1324
0.5621,0.1362
0.5358,0.1398
0.5090,0.1434
0.4818,0.1468
0.4540,0.1502
0.4258,0.1534
0.3971,0.1564
0.3681,0.1594
0.3387,0.1622
0.3090,0.1648
0.2790,0.1673
0.2487,0.1697
0.2181,0.1719
0.1874,0.1739
0.1564,0.1758
0.1253,0.1775
0.0941,0.1790
0.0628,0.1803
0.0314,0.1814
-0.0000,0.1824
-0.0314,0.1832
-0.0628,0.1837
-0.0941,0.1841
-0.1253,0.1843
-0.1564,0.1842
-0.1874,0.1840
-0.2181,0.1835
-0.2487,0.1828
-0.2790,0.1820
-0.3090,0.1809
-0.3387,0.1796
-0.3681,0.1780
-0.3971,0.1763
-0.4258,0.1743
-0.4540,0.1722
-0.4818,0.1698
-0.5090,0.1672
-0.5358,0.1643
-0.5621,0.1613
-0.5878,0.1580
-0.6129,0.1546
-0.6374,0.1509
-0.6613,0.1470
-0.6845,0.1429
-0.7071,0.1386
-0.7290,0.1341
-0.7501,0.1294
-0.7705,0.1245
-0.7902,0.1194
-0.8090,0.1141
-0.8271,0.1087
-0.8443,0.1030
-0.8607,0.0972
-0.8763,0.0912
-0.8910,0.0851
-0.9048,0.0787
-0.9178,0.0723
-0.9298,0.0657
-0.9409,0.0589
-0.9511,0.0520
-0.9603,0.0450
-0.9686,0.0378
-0.9759,0.0305
-0.9823,0.0232
-0.9877,0.0157
-0.9921,0.0081
-0.9956,0.0004
-0.9980,-0.0073
-0.9995,-0.0151
-1.0000,-0.0230
-0.9995,-0.0310
-0.9980,-0.0390
-0.9956,-0.0470
-0.9921,-0.0550
-0.9877,-0.0631
-0.9823,-0.0712
-0.9759,-0.0793
-0.9686,-0.0874
-0.9603,-0.0955
-0.9511,-0.1035
-0.9409,-0.1116
-0.9298,-0.1195
-0.9178,-0.1275
-0.9048,-0.1354
-0.8910,-0.1432
-0.8763,-0.1509
-0.8607,-0.1585
-0.8443,-0.1661
-0.8271,-0.1735
-0.8090,-0.1808
-0.7902,-0.1880
-0.7705,-0.1951
-0.7501,-0.2020
-0.7290,-0.2088
-0.7071,-0.2154
-0.6845,-0.2219
-0.6613,-0.2282
-0.6374,-0.2343
-0.6129,-0.2402
-0.5878,-0.2459
-0.5621,-0.2513
-0.5358,-0.2566
-0.5090,-0.2617
-0.4818,-0.2665
-0.4540,-0.2711
-0.4258,-0.2754
-0.3971,-0.2795
-0.3681,-0.2833
-0.3387,-0.2869
-0.3090,-0.2902
-0.2790,-0.2932
-0.2487,-0.2959
-0.2181,-0.2983
-0.1874,-0.3005
-0.1564,-0.3024
-0.1253,-0.3039
-0.0941,-0.3051
-0.0628,-0.3061
-0.0314,-0.3067
0.0000,-0.3070
0.0314,-0.3070
0.0628,-0.3067
0.0941,-0.3060
0.1253,-0.3050
0.1564,-0.3037
0.1874,-0.3021
0.2181,-0.3001
0.2487,-0.2978
0.2790,-0.2952
0.3090,-0.2923
0.3387,-0.2890
0.3681,-0.2854
0.3971,-0.2814
0.4258,-0.2772
0.4540,-0.2726
0.4818,-0.2677
0.5090,-0.2625
0.5358,-0.2569
0.5621,-0.2511
0.5878,-0.2450
0.6129,-0.2385
0.6374,-0.2318
0.6613,-0.2247
0.6845,-0.2174
0.7071,-0.2098
0.7290,-0.2019
0.7501,-0.1937
0.7705,-0.1853
0.7902,-0.1766
0.8090,-0.1677
0.8271,-0.1586
0.8443,-0.1492
0.8607,-0.1395
0.8763,-0.1297
0.8910,-0.1197
0.9048,-0.1094
0.9178,-0.0990
0.9298,-0.0884
0.9409,-0.0776
0.9511,-0.0667
0.9603,-0.0556
0.9686,-0.0444
0.9759,-0.0330
0.9823,-0.0216
0.9877,-0.0100
0.9921,0.0017
0.9956,0.0134
0.9980,0.0252
0.9995,0.0371
1.0000,0.0490
0.9995,0.0610
0.9980,0.0729
0.9956,0.0849
0.9921,0.0969
0.9877,0.1088
0.9823,0.1208
0.9759,0.1327
0.9686,0.1445
0.9603,0.1563
0.9511,0.1680
0.9409,0.1796
0.9298,0.1911
0.9178,0.2024
0.9048,0.2137
0.8910,0.2248
0.8763,0.2357
0.8607,0.2465
0.8443,0.2571
0.8271,0.2675
0.8090,0.2778
0.7902,0.2877
0.7705,0.2975
0.7501,0.3070
0.7290,0.3163
0.7071,0.3253
0.6845,0.3341
0.6613,0.3425
0.6374,0.3507
0.6129,0.3586
0.5878,0.3661
0.5621,0.3733
0.5358,0.3802
0.5090,0.3868
0.4818,0.3930
0.4540,0.3988
0.4258,0.4043
0.3971,0.4094
0.3681,0.4141
0.3387,0.4184
0.3090,0.4223
0.2790,0.4258
0.2487,0.4289
0.2181,0.4316
0.1874,0.4339
0.1564,0.4357
0.1253,0.4371
0.0941,0.4381
0.0628,0.4387
0.0314,0.4388
0.0000,0.4384
-0.0314,0.4377
-0.0628,0.4364
-0.0941,0.4348
-0.1253,0.4326
-0.1564,0.4300
-0.1874,0.4270
-0.2181,0.4235
-0.2487,0.4196
-0.2790,0.4153
-0.3090,0.4104
-0.3387,0.4052
-0.3681,0.3995
-0.3971,0.3934
-0.4258,0.3868
-0.4540,0.3798
-0.4818,0.3724
-0.5090,0.3646
-0.5358,0.3563
-0.5621,0.3477
-0.5878,0.3387
-0.6129,0.3292
-0.6374,0.3194
-0.6613,0.3092
-0.6845,0.2987
-0.7071,0.2877
-0.7290,0.2765
-0.7501,0.2649
-0.7705,0.2529
-0.7902,0.2407
-0.8090,0.2281
-0.8271,0.2152
-0.8443,0.2021
-0.8607,0.1887
-0.8763,0.1750
-0.8910,0.1611
-0.9048,0.1469
-0.9178,0.1325
-0.9298,0.1179
-0.9409,0.1031
-0.9511,0.0882
-0.9603,0.0730
-0.9686,0.0578
-0.9759,0.0423
-0.9823,0.0268
-0.9877,0.0111
-0.9921,-0.0046
-0.9956,-0.0204
-0.9980,-0.0363
-0.9995,-0.0522
-1.0000,-0.0682
-0.9995,-0.0841
-0.9980,-0.1001
-0.9956,-0.1160
-0.9921,-0.1319
-0.9877,-0.1478
-0.9823,-0.1635
-0.9759,-0.1792
-0.9686,-0.1948
-0.9603,-0.2103
-0.9511,-0.2256
-0.9409,-0.2408
-0.9298,-0.2558
-0.9178,-0.2706
-0.9048,-0.2852
-0.8910,-0.2996
-0.8763,-0.3138
-0.8607,-0.3277
-0.8443,-0.3414
-0.8271,-0.3548
-0.8090,-0.3679
-0.7902,-0.3807
-0.7705,-0.3931
-0.7501,-0.4052
-0.7290,-0.4170
-0.7071,-0.4284
-0.6845,-0.4394
-0.6613,-0.4501
-0.6374,-0.4603
-0.6129,-0.4701
-0.5878,-0.4795
-0.5621,-0.4885
-0.5358,-0.4970
-0.5090,-0.5050
-0.4818,-0.5126
-0.4540,-0.5197
