index,cos_value
0,1.00000000
1,0.99999970
2,0.99999881
3,0.99999738
4,0.99999529
5,0.99999267
6,0.99998939
7,0.99998558
8,0.99998116
9,0.99997616
10,0.99997061
11,0.99996442
12,0.99995762
13,0.99995029
14,0.99994236
15,0.99993384
16,0.99992472
17,0.99991500
18,0.99990469
19,0.99989384
20,0.99988234
21,0.99987030
22,0.99985766
23,0.99984443
24,0.99983060
25,0.99981618
26,0.99980116
27,0.99978560
28,0.99976939
29,0.99975264
30,0.99973530
31,0.99971735
32,0.99969882
33,0.99967968
34,0.99966002
35,0.99963969
36,0.99961883
37,0.99959737
38,0.99957532
39,0.99955267
40,0.99952942
41,0.99950558
42,0.99948120
43,0.99945617
44,0.99943060
45,0.99940443
46,0.99937767
47,0.99935031
48,0.99932235
49,0.99929386
50,0.99926478
51,0.99923503
52,0.99920475
53,0.99917388
54,0.99914241
55,0.99911034
56,0.99907774
57,0.99904448
58,0.99901068
59,0.99897629
60,0.99894130
61,0.99890572
62,0.99886954
63,0.99883282
64,0.99879545
65,0.99875754
66,0.99871904
67,0.99867994
68,0.99864024
69,0.99859995
70,0.99855906
71,0.99851763
72,0.99847555
73,0.99843293
74,0.99838972
75,0.99834591
76,0.99830157
77,0.99825656
78,0.99821103
79,0.99816483
80,0.99811810
81,0.99807078
82,0.99802285
83,0.99797440
84,0.99792528
85,0.99787563
86,0.99782532
87,0.99777448
88,0.99772304
89,0.99767107
90,0.99761844
91,0.99756521
92,0.99751145
93,0.99745709
94,0.99740213
95,0.99734658
96,0.99729043
97,0.99723375
98,0.99717641
99,0.99711853
100,0.99706006
101,0.99700099
102,0.99694139
103,0.99688113
104,0.99682027
105,0.99675888
106,0.99669689
107,0.99663430
108,0.99657112
109,0.99650741
110,0.99644303
111,0.99637812
112,0.99631262
113,0.99624652
114,0.99617982
115,0.99611259
116,0.99604470
117,0.99597627
118,0.99590725
119,0.99583763
120,0.99576741
121,0.99569660
122,0.99562526
123,0.99555331
124,0.99548078
125,0.99540764
126,0.99533391
127,0.99525958
128,0.99518472
129,0.99510926
130,0.99503320
131,0.99495655
132,0.99487931
133,0.99480152
134,0.99472314
135,0.99464417
136,0.99456459
137,0.99448442
138,0.99440366
139,0.99432236
140,0.99424046
141,0.99415797
142,0.99407488
143,0.99399120
144,0.99390697
145,0.99382216
146,0.99373674
147,0.99365073
148,0.99356413
149,0.99347699
150,0.99338919
151,0.99330086
152,0.99321193
153,0.99312246
154,0.99303234
155,0.99294168
156,0.99285042
157,0.99275857
158,0.99266613
159,0.99257314
160,0.99247956
161,0.99238533
162,0.99229062
163,0.99219525
164,0.99209929
165,0.99200279
166,0.99190569
167,0.99180800
168,0.99170977
169,0.99161088
170,0.99151146
171,0.99141145
172,0.99131083
173,0.99120969
174,0.99110794
175,0.99100554
176,0.99090266
177,0.99079913
178,0.99069500
179,0.99059033
180,0.99048507
181,0.99037921
182,0.99027282
183,0.99016583
184,0.99005818
185,0.98995006
186,0.98984128
187,0.98973197
188,0.98962200
189,0.98951149
190,0.98940045
191,0.98928875
192,0.98917651
193,0.98906368
194,0.98895025
195,0.98883629
196,0.98872167
197,0.98860651
198,0.98849082
199,0.98837447
200,0.98825759
201,0.98814011
202,0.98802203
203,0.98790336
204,0.98778415
205,0.98766434
206,0.98754394
207,0.98742294
208,0.98730141
209,0.98717928
210,0.98705655
211,0.98693329
212,0.98680937
213,0.98668492
214,0.98655993
215,0.98643428
216,0.98630810
217,0.98618132
218,0.98605394
219,0.98592603
220,0.98579752
221,0.98566842
222,0.98553872
223,0.98540848
224,0.98527765
225,0.98514622
226,0.98501426
227,0.98488164
228,0.98474848
229,0.98461479
230,0.98448044
231,0.98434556
232,0.98421007
233,0.98407406
234,0.98393744
235,0.98380023
236,0.98366243
237,0.98352408
238,0.98338509
239,0.98324561
240,0.98310548
241,0.98296481
242,0.98282355
243,0.98268169
244,0.98253930
245,0.98239630
246,0.98225272
247,0.98210859
248,0.98196387
249,0.98181856
250,0.98167270
251,0.98152626
252,0.98137921
253,0.98123157
254,0.98108339
255,0.98093462
256,0.98078525
257,0.98063534
258,0.98048484
259,0.98033381
260,0.98018211
261,0.98002988
262,0.97987711
263,0.97972369
264,0.97956979
265,0.97941524
266,0.97926015
267,0.97910446
268,0.97894818
269,0.97879136
270,0.97863394
271,0.97847593
272,0.97831738
273,0.97815824
274,0.97799850
275,0.97783822
276,0.97767735
277,0.97751594
278,0.97735393
279,0.97719133
280,0.97702813
281,0.97686440
282,0.97670007
283,0.97653520
284,0.97636974
285,0.97620368
286,0.97603709
287,0.97586989
288,0.97570211
289,0.97553378
290,0.97536486
291,0.97519541
292,0.97502536
293,0.97485471
294,0.97468352
295,0.97451174
296,0.97433937
297,0.97416645
298,0.97399294
299,0.97381890
300,0.97364426
301,0.97346902
302,0.97329324
303,0.97311687
304,0.97293997
305,0.97276247
306,0.97258437
307,0.97240573
308,0.97222650
309,0.97204667
310,0.97186631
311,0.97168541
312,0.97150391
313,0.97132182
314,0.97113913
315,0.97095591
316,0.97077215
317,0.97058779
318,0.97040284
319,0.97021735
320,0.97003126
321,0.96984458
322,0.96965736
323,0.96946961
324,0.96928126
325,0.96909231
326,0.96890283
327,0.96871275
328,0.96852207
329,0.96833086
330,0.96813911
331,0.96794677
332,0.96775383
333,0.96756035
334,0.96736628
335,0.96717167
336,0.96697646
337,0.96678072
338,0.96658438
339,0.96638745
340,0.96618998
341,0.96599197
342,0.96579337
343,0.96559417
344,0.96539444
345,0.96519411
346,0.96499324
347,0.96479177
348,0.96458977
349,0.96438724
350,0.96418405
351,0.96398038
352,0.96377605
353,0.96357119
354,0.96336579
355,0.96315980
356,0.96295327
357,0.96274614
358,0.96253848
359,0.96233022
360,0.96212143
361,0.96191204
362,0.96170205
363,0.96149158
364,0.96128047
365,0.96106887
366,0.96085662
367,0.96064389
368,0.96043050
369,0.96021664
370,0.96000212
371,0.95978713
372,0.95957154
373,0.95935535
374,0.95913863
375,0.95892131
376,0.95870346
377,0.95848507
378,0.95826608
379,0.95804656
380,0.95782644
381,0.95760572
382,0.95738453
383,0.95716268
384,0.95694035
385,0.95671743
386,0.95649391
387,0.95626986
388,0.95604527
389,0.95582008
390,0.95559430
391,0.95536804
392,0.95514119
393,0.95491374
394,0.95468575
395,0.95445722
396,0.95422810
397,0.95399845
398,0.95376819
399,0.95353740
400,0.95330602
401,0.95307410
402,0.95284164
403,0.95260859
404,0.95237499
405,0.95214087
406,0.95190614
407,0.95167089
408,0.95143503
409,0.95119864
410,0.95096165
411,0.95072412
412,0.95048606
413,0.95024747
414,0.95000821
415,0.94976848
416,0.94952816
417,0.94928730
418,0.94904590
419,0.94880390
420,0.94856137
421,0.94831824
422,0.94807458
423,0.94783038
424,0.94758558
425,0.94734025
426,0.94709438
427,0.94684792
428,0.94660091
429,0.94635338
430,0.94610524
431,0.94585657
432,0.94560730
433,0.94535756
434,0.94510722
435,0.94485629
436,0.94460481
437,0.94435281
438,0.94410026
439,0.94384712
440,0.94359344
441,0.94333923
442,0.94308442
443,0.94282907
444,0.94257319
445,0.94231677
446,0.94205976
447,0.94180220
448,0.94154406
449,0.94128537
450,0.94102615
451,0.94076639
452,0.94050604
453,0.94024521
454,0.93998373
455,0.93972176
456,0.93945920
457,0.93919611
458,0.93893248
459,0.93866825
460,0.93840355
461,0.93813825
462,0.93787235
463,0.93760598
464,0.93733901
465,0.93707150
466,0.93680346
467,0.93653482
468,0.93626565
469,0.93599594
470,0.93572569
471,0.93545485
472,0.93518353
473,0.93491161
474,0.93463916
475,0.93436611
476,0.93409258
477,0.93381846
478,0.93354380
479,0.93326855
480,0.93299282
481,0.93271649
482,0.93243963
483,0.93216223
484,0.93188429
485,0.93160576
486,0.93132669
487,0.93104714
488,0.93076694
489,0.93048626
490,0.93020505
491,0.92992324
492,0.92964089
493,0.92935801
494,0.92907459
495,0.92879063
496,0.92850608
497,0.92822099
498,0.92793536
499,0.92764920
500,0.92736250
501,0.92707527
502,0.92678750
503,0.92649913
504,0.92621022
505,0.92592078
506,0.92563081
507,0.92534029
508,0.92504925
509,0.92475760
510,0.92446548
511,0.92417276
512,0.92387950
513,0.92358571
514,0.92329144
515,0.92299652
516,0.92270112
517,0.92240518
518,0.92210865
519,0.92181164
520,0.92151403
521,0.92121589
522,0.92091721
523,0.92061806
524,0.92031825
525,0.92001796
526,0.91971713
527,0.91941577
528,0.91911387
529,0.91881138
530,0.91850841
531,0.91820484
532,0.91790080
533,0.91759616
534,0.91729099
535,0.91698527
536,0.91667908
537,0.91637230
538,0.91606498
539,0.91575712
540,0.91544873
541,0.91513979
542,0.91483033
543,0.91452032
544,0.91420978
545,0.91389865
546,0.91358703
547,0.91327488
548,0.91296220
549,0.91264898
550,0.91233516
551,0.91202086
552,0.91170603
553,0.91139066
554,0.91107476
555,0.91075832
556,0.91044128
557,0.91012377
558,0.90980572
559,0.90948713
560,0.90916800
561,0.90884835
562,0.90852809
563,0.90820736
564,0.90788609
565,0.90756428
566,0.90724200
567,0.90691912
568,0.90659571
569,0.90627176
570,0.90594733
571,0.90562230
572,0.90529674
573,0.90497071
