index,sin_value
0,0.00000000
1,0.00076699
2,0.00153398
3,0.00230097
4,0.00306796
5,0.00383494
6,0.00460193
7,0.00536891
8,0.00613588
9,0.00690286
10,0.00766983
11,0.00843679
12,0.00920375
13,0.00997071
14,0.01073766
15,0.01150460
16,0.01227154
17,0.01303847
18,0.01380539
19,0.01457230
20,0.01533921
21,0.01610610
22,0.01687299
23,0.01763986
24,0.01840673
25,0.01917358
26,0.01994043
27,0.02070726
28,0.02147408
29,0.02224089
30,0.02300768
31,0.02377446
32,0.02454123
33,0.02530798
34,0.02607472
35,0.02684144
36,0.02760815
37,0.02837484
38,0.02914151
39,0.02990816
40,0.03067480
41,0.03144142
42,0.03220803
43,0.03297461
44,0.03374117
45,0.03450772
46,0.03527424
47,0.03604074
48,0.03680722
49,0.03757368
50,0.03834012
51,0.03910653
52,0.03987293
53,0.04063930
54,0.04140564
55,0.04217196
56,0.04293825
57,0.04370453
58,0.04447077
59,0.04523699
60,0.04600318
61,0.04676935
62,0.04753549
63,0.04830159
64,0.04906768
65,0.04983373
66,0.05059975
67,0.05136574
68,0.05213170
69,0.05289764
70,0.05366354
71,0.05442941
72,0.05519525
73,0.05596105
74,0.05672682
75,0.05749256
76,0.05825827
77,0.05902394
78,0.05978957
79,0.06055517
80,0.06132074
81,0.06208627
82,0.06285176
83,0.06361721
84,0.06438263
85,0.06514801
86,0.06591336
87,0.06667866
88,0.06744391
89,0.06820914
90,0.06897433
91,0.06973947
92,0.07050458
93,0.07126964
94,0.07203466
95,0.07279963
96,0.07356457
97,0.07432946
98,0.07509430
99,0.07585910
100,0.07662386
101,0.07738858
102,0.07815324
103,0.07891786
104,0.07968244
105,0.08044697
106,0.08121145
107,0.08197588
108,0.08274026
109,0.08350460
110,0.08426889
111,0.08503313
112,0.08579731
113,0.08656145
114,0.08732554
115,0.08808956
116,0.08885355
117,0.08961748
118,0.09038136
119,0.09114518
120,0.09190895
121,0.09267268
122,0.09343633
123,0.09419994
124,0.09496350
125,0.09572700
126,0.09649043
127,0.09725381
128,0.09801714
129,0.09878041
130,0.09954362
131,0.10030677
132,0.10106986
133,0.10183290
134,0.10259587
135,0.10335878
136,0.10412163
137,0.10488442
138,0.10564715
139,0.10640982
140,0.10717242
141,0.10793497
142,0.10869744
143,0.10945985
144,0.11022221
145,0.11098450
146,0.11174671
147,0.11250886
148,0.11327095
149,0.11403298
150,0.11479492
151,0.11555681
152,0.11631864
153,0.11708038
154,0.11784206
155,0.11860368
156,0.11936521
157,0.12012669
158,0.12088809
159,0.12164942
160,0.12241067
161,0.12317186
162,0.12393298
163,0.12469401
164,0.12545498
165,0.12621588
166,0.12697670
167,0.12773745
168,0.12849811
169,0.12925871
170,0.13001922
171,0.13077967
172,0.13154003
173,0.13230032
174,0.13306053
175,0.13382065
176,0.13458070
177,0.13534068
178,0.13610058
179,0.13686039
180,0.13762012
181,0.13837978
182,0.13913934
183,0.13989882
184,0.14065824
185,0.14141756
186,0.14217681
187,0.14293596
188,0.14369504
189,0.14445402
190,0.14521292
191,0.14597175
192,0.14673047
193,0.14748912
194,0.14824769
195,0.14900616
196,0.14976452
197,0.15052283
198,0.15128104
199,0.15203916
200,0.15279719
201,0.15355512
202,0.15431298
203,0.15507072
204,0.15582840
205,0.15658598
206,0.15734346
207,0.15810084
208,0.15885815
209,0.15961534
210,0.16037245
211,0.16112947
212,0.16188639
213,0.16264322
214,0.16339995
215,0.16415659
216,0.16491312
217,0.16566956
218,0.16642590
219,0.16718215
220,0.16793829
221,0.16869435
222,0.16945030
223,0.17020613
224,0.17096189
225,0.17171754
226,0.17247309
227,0.17322853
228,0.17398387
229,0.17473912
230,0.17549425
231,0.17624928
232,0.17700422
233,0.17775905
234,0.17851378
235,0.17926839
236,0.18002291
237,0.18077730
238,0.18153161
239,0.18228580
240,0.18303989
241,0.18379387
242,0.18454774
243,0.18530151
244,0.18605514
245,0.18680869
246,0.18756212
247,0.18831545
248,0.18906866
249,0.18982176
250,0.19057477
251,0.19132763
252,0.19208039
253,0.19283305
254,0.19358559
255,0.19433801
256,0.19509032
257,0.19584250
258,0.19659460
259,0.19734655
260,0.19809841
261,0.19885014
262,0.19960175
263,0.20035326
264,0.20110463
265,0.20185590
266,0.20260704
267,0.20335807
268,0.20410897
269,0.20485975
270,0.20561042
271,0.20636095
272,0.20711137
273,0.20786168
274,0.20861185
275,0.20936191
276,0.21011184
277,0.21086165
278,0.21161132
279,0.21236089
280,0.21311031
281,0.21385963
282,0.21460882
283,0.21535787
284,0.21610680
285,0.21685560
286,0.21760426
287,0.21835282
288,0.21910124
289,0.21984953
290,0.22059770
291,0.22134572
292,0.22209361
293,0.22284138
294,0.22358903
295,0.22433653
296,0.22508392
297,0.22583117
298,0.22657827
299,0.22732523
300,0.22807208
301,0.22881879
302,0.22956537
303,0.23031181
304,0.23105812
305,0.23180427
306,0.23255031
307,0.23329620
308,0.23404196
309,0.23478758
310,0.23553306
311,0.23627841
312,0.23702359
313,0.23776866
314,0.23851359
315,0.23925838
316,0.24000302
317,0.24074753
318,0.24149188
319,0.24223609
320,0.24298018
321,0.24372411
322,0.24446790
323,0.24521156
324,0.24595505
325,0.24669841
326,0.24744162
327,0.24818468
328,0.24892761
329,0.24967039
330,0.25041300
331,0.25115550
332,0.25189781
333,0.25264001
334,0.25338206
335,0.25412393
336,0.25486565
337,0.25560725
338,0.25634867
339,0.25708997
340,0.25783110
341,0.25857207
342,0.25931293
343,0.26005360
344,0.26079413
345,0.26153448
346,0.26227471
347,0.26301479
348,0.26375470
349,0.26449445
350,0.26523402
351,0.26597345
352,0.26671275
353,0.26745188
354,0.26819086
355,0.26892966
356,0.26966831
357,0.27040681
358,0.27114516
359,0.27188334
360,0.27262136
361,0.27335921
362,0.27409694
363,0.27483445
364,0.27557179
365,0.27630901
366,0.27704608
367,0.27778295
368,0.27851969
369,0.27925625
370,0.27999264
371,0.28072888
372,0.28146493
373,0.28220084
374,0.28293657
375,0.28367215
376,0.28440756
377,0.28514275
378,0.28587782
379,0.28661272
380,0.28734747
381,0.28808200
382,0.28881639
383,0.28955063
384,0.29028466
385,0.29101855
386,0.29175228
387,0.29248580
388,0.29321918
389,0.29395238
390,0.29468539
391,0.29541820
392,0.29615086
393,0.29688337
394,0.29761571
395,0.29834786
396,0.29907984
397,0.29981163
398,0.30054325
399,0.30127469
400,0.30200595
401,0.30273706
402,0.30346796
403,0.30419868
404,0.30492926
405,0.30565959
406,0.30638978
407,0.30711979
408,0.30784965
409,0.30857930
410,0.30930877
411,0.31003806
412,0.31076714
413,0.31149608
414,0.31222481
415,0.31295338
416,0.31368175
417,0.31440994
418,0.31513792
419,0.31586573
420,0.31659338
421,0.31732082
422,0.31804806
423,0.31877515
424,0.31950203
425,0.32022873
426,0.32095525
427,0.32168156
428,0.32240769
429,0.32313362
430,0.32385936
431,0.32458493
432,0.32531029
433,0.32603547
434,0.32676044
435,0.32748523
436,0.32820985
437,0.32893425
438,0.32965845
439,0.33038250
440,0.33110631
441,0.33182994
442,0.33255339
443,0.33327663
444,0.33399966
445,0.33472252
446,0.33544514
447,0.33616757
448,0.33688983
449,0.33761191
450,0.33833376
451,0.33905542
452,0.33977687
453,0.34049815
454,0.34121922
455,0.34194008
456,0.34266073
457,0.34338120
458,0.34410143
459,0.34482148
460,0.34554130
461,0.34626096
462,0.34698039
463,0.34769964
464,0.34841868
465,0.34913751
466,0.34985614
467,0.35057455
468,0.35129276
469,0.35201076
470,0.35272858
471,0.35344616
472,0.35416353
473,0.35488069
474,0.35559765
475,0.35631442
476,0.35703096
477,0.35774729
478,0.35846341
479,0.35917935
480,0.35989505
481,0.36061054
482,0.36132580
483,0.36204088
484,0.36275575
485,0.36347038
486,0.36418480
487,0.36489898
488,0.36561298
489,0.36632678
490,0.36704034
491,0.36775368
492,0.36846682
493,0.36917976
494,0.36989245
495,0.37060493
496,0.37131721
497,0.37202924
498,0.37274107
499,0.37345269
500,0.37416407
501,0.37487522
502,0.37558618
503,0.37629691
504,0.37700740
505,0.37771770
506,0.37842774
507,0.37913761
508,0.37984720
509,0.38055661
510,0.38126579
511,0.38197473
512,0.38268346
513,0.38339195
514,0.38410017
515,0.38480821
516,0.38551605
517,0.38622364
518,0.38693100
519,0.38763815
520,0.38834503
521,0.38905174
522,0.38975817
523,0.39046440
524,0.39117038
525,0.39187616
526,0.39258167
527,0.39328697
528,0.39399204
529,0.39469686
530,0.39540148
531,0.39610586
532,0.39681000
533,0.39751390
534,0.39821756
535,0.39892101
536,0.39962420
537,0.40032718
538,0.40102991
539,0.40173241
540,0.40243468
541,0.40313670
542,0.40383846
543,0.40454000
544,0.40524131
545,0.40594238
546,0.40664321
547,0.40734380
548,0.40804416
549,0.40874428
550,0.40944415
551,0.41014379
552,0.41084319
553,0.41154233
554,0.41224125
555,0.41293988
556,0.41363829
557,0.41433647
558,0.41503441
559,0.41573212
560,0.41642955
561,0.41712674
562,0.41782370
563,0.41852042
564,0.41921690
565,0.41991311
566,0.42060909
567,0.42130479
568,0.42200029
569,0.42269549
570,0.42339048
571,0.42408520
572,0.42477968
573,0.42547390
574,0.42616788
575,0.42686161
576,0.42755508
577,0.42824832
578,0.42894131
579,0.42963403
580,0.43032649
581,0.43101871
582,0.43171066
583,0.43240234
584,0.43309382
585,0.43378502
586,0.43447596
587,0.43516666
588,0.43585709
589,0.43654725
590,0.43723717
591,0.43792683
592,0.43861625
593,0.43930539
594,0.43999428
595,0.44068292
596,0.44137129
597,0.44205937
598,0.44274721
599,0.44343480
600,0.44412214
601,0.44480920
602,0.44549602
603,0.44618255
604,0.44686884
605,0.44755486
606,0.44824061
607,0.44892612
608,0.44961134
609,0.45029631
610,0.45098099
611,0.45166540
612,0.45234957
613,0.45303348
614,0.45371711
615,0.45440048
616,0.45508358
617,0.45576641
618,0.45644897
619,0.45713130
620,0.45781332
621,0.45849508
622,0.45917657
623,0.45985779
624,0.46053869
625,0.46121937
626,0.46189979
627,0.46257991
628,0.46325979
629,0.46393937
630,0.46461868
631,0.46529773
632,0.46597651
633,0.46665499
634,0.46733323
635,0.46801117
636,0.46868885
637,0.46936622
638,0.47004333
639,0.47072017
640,0.47139671
641,0.47207302
642,0.47274902
643,0.47342476
644,0.47410020
645,0.47477540
646,0.47545028
647,0.47612491
648,0.47679925
649,0.47747329
650,0.47814706
651,0.47882053
652,0.47949374
653,0.48016667
654,0.48083931
655,0.48151168
656,0.48218375
657,0.48285556
658,0.48352709
659,0.48419830
660,0.48486924
661,0.48553991
662,0.48621029
663,0.48688036
664,0.48755017
665,0.48821968
666,0.48888892
667,0.48955786
668,0.49022651
669,0.49089485
670,0.49156293
671,0.49223071
672,0.49289817
673,0.49356538
674,0.49423230
675,0.49489892
676,0.49556524
677,0.49623129
678,0.49689704
679,0.49756250
680,0.49822766
681,0.49889252
682,0.49955711
683,0.50022137
684,0.50088537
685,0.50154907
686,0.50221246
687,0.50287557
688,0.50353837
689,0.50420088
690,0.50486314
691,0.50552505
692,0.50618666
693,0.50684798
694,0.50750899
695,0.50816971
696,0.50883019
697,0.50949031
698,0.51015013
699,0.51080960
700,0.51146883
701,0.51212776
702,0.51278639
703,0.51344472
704,0.51410276
705,0.51476043
706,0.51541787
707,0.51607496
708,0.51673180
709,0.51738828
710,0.51804447
711,0.51870042
712,0.51935601
713,0.52001131
714,0.52066624
715,0.52132094
716,0.52197528
717,0.52262938
718,0.52328312
719,0.52393657
720,0.52458972
721,0.52524251
722,0.52589506
723,0.52654725
724,0.52719915
725,0.52785075
726,0.52850205
727,0.52915293
728,0.52980357
729,0.53045392
730,0.53110397
731,0.53175372
732,0.53240311
733,0.53305221
734,0.53370100
735,0.53434944
736,0.53499764
737,0.53564543
738,0.53629297
739,0.53694016
740,0.53758711
741,0.53823364
742,0.53887993
743,0.53952587
744,0.54017150
745,0.54081678
746,0.54146177
747,0.54210645
748,0.54275078
749,0.54339480
750,0.54403853
751,0.54468197
752,0.54532498
753,0.54596776
754,0.54661012
755,0.54725224
756,0.54789406
757,0.54853553
758,0.54917663
759,0.54981744
760,0.55045795
761,0.55109811
762,0.55173796
763,0.55237752
764,0.55301672
765,0.55365556
766,0.55429411
767,0.55493236
768,0.55557024
769,0.55620778
770,0.55684507
771,0.55748194
772,0.55811852
773,0.55875480
774,0.55939072
775,0.56002635
776,0.56066161
777,0.56129652
778,0.56193113
779,0.56256545
780,0.56319934
781,0.56383300
782,0.56446624
783,0.56509918
784,0.56573176
785,0.56636405
786,0.56699604
787,0.56762767
788,0.56825894
789,0.56888992
790,0.56952053
791,0.57015079
792,0.57078075
793,0.57141036
794,0.57203960
795,0.57266855
796,0.57329714
797,0.57392544
798,0.57455337
799,0.57518095
800,0.57580823
801,0.57643509
802,0.57706171
803,0.57768792
804,0.57831383
805,0.57893938
806,0.57956457
807,0.58018947
808,0.58081400
809,0.58143812
810,0.58206195
811,0.58268547
812,0.58330864
813,0.58393145
814,0.58455396
815,0.58517605
816,0.58579785
817,0.58641928
818,0.58704036
819,0.58766115
820,0.58828157
821,0.58890158
822,0.58952129
823,0.59014070
824,0.59075969
825,0.59137839
826,0.59199673
827,0.59261465
828,0.59323233
829,0.59384960
830,0.59446651
831,0.59508312
832,0.59569931
833,0.59631521
834,0.59693074
835,0.59754592
836,0.59816068
837,0.59877515
838,0.59938926
839,0.60000306
840,0.60061646
841,0.60122955
842,0.60184222
843,0.60245460
844,0.60306656
845,0.60367823
846,0.60428953
847,0.60490048
848,0.60551101
849,0.60612124
850,0.60673112
851,0.60734063
852,0.60794979
853,0.60855860
854,0.60916704
855,0.60977513
856,0.61038280
857,0.61099017
858,0.61159718
859,0.61220384
860,0.61281008
861,0.61341602
862,0.61402160
863,0.61462677
864,0.61523157
865,0.61583602
866,0.61644018
867,0.61704391
868,0.61764729
869,0.61825031
870,0.61885297
871,0.61945528
872,0.62005723
873,0.62065876
874,0.62125999
875,0.62186080
876,0.62246126
877,0.62306136
878,0.62366110
879,0.62426049
880,0.62485951
881,0.62545812
882,0.62605637
883,0.62665427
884,0.62725180
885,0.62784898
886,0.62844580
887,0.62904221
888,0.62963825
889,0.63023394
890,0.63082927
891,0.63142413
892,0.63201874
893,0.63261288
894,0.63320673
895,0.63380021
896,0.63439327
897,0.63498598
898,0.63557833
899,0.63617027
900,0.63676184
901,0.63735306
902,0.63794392
903,0.63853437
904,0.63912445
905,0.63971418
906,0.64030349
907,0.64089245
908,0.64148104
909,0.64206922
910,0.64265704
911,0.64324450
912,0.64383155
913,0.64441824
914,0.64500457
915,0.64559048
916,0.64617604
917,0.64676118
918,0.64734602
919,0.64793038
920,0.64851439
921,0.64909804
922,0.64968127
923,0.65026414
924,0.65084666
925,0.65142882
926,0.65201050
927,0.65259188
928,0.65317285
929,0.65375340
930,0.65433359
931,0.65491343
932,0.65549284
933,0.65607190
934,0.65665054
935,0.65722883
936,0.65780669
937,0.65838420
938,0.65896130
939,0.65953803
940,0.66011435
941,0.66069031
942,0.66126585
943,0.66184103
944,0.66241580
945,0.66299021
946,0.66356415
947,0.66413772
948,0.66471094
949,0.66528380
950,0.66585624
951,0.66642827
952,0.66699994
953,0.66757119
954,0.66814202
955,0.66871250
956,0.66928256
957,0.66985226
958,0.67042154
959,0.67099047
960,0.67155898
961,0.67212707
962,0.67269480
963,0.67326212
964,0.67382902
965,0.67439556
966,0.67496169
967,0.67552739
968,0.67609274
969,0.67665768
970,0.67722219
971,0.67778635
972,0.67835009
973,0.67891335
974,0.67947632
975,0.68003887
976,0.68060100
977,0.68116271
978,0.68172407
979,0.68228501
980,0.68284553
981,0.68340570
982,0.68396538
983,0.68452471
984,0.68508369
985,0.68564218
986,0.68620032
987,0.68675804
988,0.68731534
989,0.68787223
990,0.68842876
991,0.68898487
992,0.68954057
993,0.69009584
994,0.69065070
995,0.69120520
996,0.69175929
997,0.69231296
998,0.69286621
999,0.69341904
1000,0.69397146
1001,0.69452345
1002,0.69507509
1003,0.69562632
1004,0.69617712
1005,0.69672751
1006,0.69727749
1007,0.69782710
1008,0.69837624
1009,0.69892502
1010,0.69947332
1011,0.70002127
1012,0.70056880
1013,0.70111591
1014,0.70166260
1015,0.70220888
1016,0.70275474
1017,0.70330018
1018,0.70384526
1019,0.70438987
1020,0.70493412
1021,0.70547789
1022,0.70602125
1023,0.70656425
1024,0.70710677
1025,0.70764893
1026,0.70819068
1027,0.70873195
1028,0.70927280
1029,0.70981330
1030,0.71035331
1031,0.71089298
1032,0.71143216
1033,0.71197098
1034,0.71250933
1035,0.71304733
1036,0.71358484
1037,0.71412200
1038,0.71465868
1039,0.71519494
1040,0.71573085
1041,0.71626627
1042,0.71680129
1043,0.71733588
1044,0.71787006
1045,0.71840382
1046,0.71893716
1047,0.71947002
1048,0.72000253
1049,0.72053456
1050,0.72106624
1051,0.72159743
1052,0.72212821
1053,0.72265857
1054,0.72318852
1055,0.72371805
1056,0.72424704
1057,0.72477573
1058,0.72530395
1059,0.72583175
1060,0.72635913
1061,0.72688609
1062,0.72741264
